year,month,cover_image_url,features,season,secondary_color_1,secondary_color_2,secondary_color_3,secondary_color_4,primary_color,color_palette_rgb
1922,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19220101thumbnails/Covers/0x600/19220101.jpg,"[{'title': 'I. N. VAN NUYS BUILDING —LOS ANGELES', 'link': 'https://archive.architecturaldigest.com/article/1922/1/i-n-van-nuys-building---los-angeles'}, {'title': 'L. A. STOCK EXCHANGE BUILDING —LOS ANGELES', 'link': 'https://archive.architecturaldigest.com/article/1922/1/l-a-stock-exchange-building---los-angeles'}, {'title': 'Introductory', 'link': 'https://archive.architecturaldigest.com/article/1922/1/introductory'}]",Winter,,tan,rosybrown,darkolivegreen,burlywood,"{""0.4583788914198937"": [226, 194, 143], ""0.4050911161731207"": [220, 188, 137], ""0.10476082004555809"": [211, 181, 131], ""0.021776765375854216"": [170, 147, 108], ""0.009992406985573273"": [125, 104, 64]}"
1923,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19230101thumbnails/Covers/0x600/19230101.jpg,"[{'title': 'A Musical Hobby for Everyday Riding', 'link': 'https://archive.architecturaldigest.com/article/1923/1/a-musical-hobby-for-everyday-riding'}, {'title': ""History's Pages Turn on the Hinges of the Doors of the World"", 'link': 'https://archive.architecturaldigest.com/article/1923/1/historys-pages-turn-on-the-hinges-of-the-doors-of-the-world'}, {'title': 'Brick for Beauty, Economy, Safety and Permanence', 'link': 'https://archive.architecturaldigest.com/article/1923/1/brick-for-beauty-economy-safety-and-permanence'}]",Winter,,,,darkslategrey,black,"{""0.3698098434004474"": [45, 24, 26], ""0.316834451901566"": [48, 26, 29], ""0.17095824011931393"": [52, 29, 32], ""0.12060402684563759"": [42, 21, 23], ""0.021793437733035048"": [50, 37, 42]}"
1925,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19250101thumbnails/Covers/0x600/19250101.jpg,"[{'title': 'Estate of Benjamin R. Meyer, Beverly Hills — Johnson, Kaufmann & Coate, Architects and Paul G. Thiene, Landscape Architect', 'link': 'https://archive.architecturaldigest.com/article/1925/1/estate-of-benjamin-r-meyer-beverly-hills---johnson-kaufmann-coate-architects-and-paul-g-thiene-lands'}, {'title': 'foreword', 'link': 'https://archive.architecturaldigest.com/article/1925/1/foreword'}, {'title': 'O. Nicholas Gabriel, House, Oak Knoll Park, Pasadena — Roland E. Coate, Architect', 'link': 'https://archive.architecturaldigest.com/article/1925/1/o-nicholas-gabriel-house-oak-knoll-park-pasadena---roland-e-coate-architect'}]",Winter,,black,,,darkslategrey,"{""0.31502325581395346"": [56, 44, 32], ""0.25620542635658916"": [65, 53, 39], ""0.1620077519379845"": [15, 11, 7], ""0.142953488372093"": [26, 21, 15], ""0.12381007751937985"": [40, 33, 24]}"
1926,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19260101thumbnails/Covers/0x600/19260101.jpg,"[{'title': 'A SPECIAL SECTION OF TEN PAGES DEVOTED TO The Elks Club — SAN FRANCISCO — Frederick H. Meyer and Albin R. Johnson, Architects', 'link': 'https://archive.architecturaldigest.com/article/1926/1/a-special-section-of-ten-pages-devoted-to-the-elks-club---san-francisco---frederick-h-meyer-and-albi'}, {'title': 'C. F. DeWitt House, Hollywood — Charles H. Kyson, Architect', 'link': 'https://archive.architecturaldigest.com/article/1926/1/c-f-dewitt-house-hollywood---charles-h-kyson-architect'}, {'title': 'Robert Overell House, Beverly Hills', 'link': 'https://archive.architecturaldigest.com/article/1926/1/robert-overell-house-beverly-hills'}]",Winter,,black,,,darkslategrey,"{""0.2758162490508732"": [65, 54, 39], ""0.2414123006833713"": [58, 46, 32], ""0.17047835990888383"": [30, 26, 18], ""0.16662110858010631"": [47, 38, 26], ""0.14567198177676538"": [73, 62, 46]}"
1926,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19260201thumbnails/Covers/0x600/19260201.jpg,"[{'title': 'Elks Club—Los Angeles—Curlett & Beelman, Architects', 'link': 'https://archive.architecturaldigest.com/article/1926/2/elks-club--los-angeles--curlett-beelman-architects'}, {'title': 'Barker Bros. Building, Los Angeles', 'link': 'https://archive.architecturaldigest.com/article/1926/2/barker-bros-building-los-angeles'}, {'title': 'Club Casa Del Mar, Santa Monica', 'link': 'https://archive.architecturaldigest.com/article/1926/2/club-casa-del-mar-santa-monica'}]",Winter,,black,dimgrey,darkslategrey,grey,"{""0.29037209302325584"": [154, 139, 113], ""0.2865968992248062"": [143, 128, 102], ""0.21674806201550387"": [37, 34, 28], ""0.11874418604651163"": [114, 102, 82], ""0.08753875968992247"": [76, 69, 57]}"
1927,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19270101thumbnails/Covers/0x600/19270101.jpg,"[{'title': 'FOREWORD', 'link': 'https://archive.architecturaldigest.com/article/1927/1/foreword'}, {'title': 'House of I. Eisner, Los Angeles—Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1927/1/house-of-i-eisner-los-angeles-gordon-b-kaufmann-architect'}, {'title': 'House of Frances Marion Thompson, Beverly Hills—Wallace Neff, Architect', 'link': 'https://archive.architecturaldigest.com/article/1927/1/house-of-frances-marion-thompson-beverly-hills-wallace-neff-architect'}]",Winter,,black,darkslategrey,dimgrey,grey,"{""0.33337688044338876"": [149, 134, 110], ""0.31769200316706253"": [159, 144, 119], ""0.20530878859857482"": [34, 29, 22], ""0.07791369754552653"": [70, 60, 47], ""0.06570863024544735"": [108, 96, 80]}"
1928,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19280101thumbnails/Covers/0x600/19280101.jpg,"[{'title': 'FOREWORD', 'link': 'https://archive.architecturaldigest.com/article/1928/1/foreword'}, {'title': 'Roosevelt Building, Los Angeles—Curlett & Beelman, Architects; Sun Realty Company, Owners', 'link': 'https://archive.architecturaldigest.com/article/1928/1/roosevelt-building-los-angeles-curlett-beelman-architects-sun-realty-company-owners'}, {'title': ""Pig'n Whistle, Hollywood—Morgan, Walls & Clements, Architects"", 'link': 'https://archive.architecturaldigest.com/article/1928/1/pign-whistle-hollywood-morgan-walls-clements-architects'}]",Winter,,black,,,darkslategrey,"{""0.3287746256895193"": [69, 56, 44], ""0.22436170212765957"": [73, 60, 48], ""0.2238416075650118"": [24, 24, 23], ""0.1596059889676911"": [64, 52, 41], ""0.0634160756501182"": [44, 46, 46]}"
1929,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19290101thumbnails/Covers/0x600/19290101.jpg,"[{'title': 'Ranch of Mr. and Mrs. W. K. Kellogg, Near Pomona—Myron Hunt and H. C. Chambers, Architects', 'link': 'https://archive.architecturaldigest.com/article/1929/1/ranch-of-mr-and-mrs-w-k-kellogg-near-pomona-myron-hunt-and-h-c-chambers-architects'}, {'title': 'Residence of Mr. and Mrs. Arthur Letts, Holmby Hills, Los Angeles —Arthur Kelly, Architect; Joe Estep, Associate', 'link': 'https://archive.architecturaldigest.com/article/1929/1/residence-of-mr-and-mrs-arthur-letts-holmby-hills-los-angeles--arthur-kelly-architect-joe-estep-asso'}, {'title': 'Residence of Mr. and Mrs. Milton E. Getz, Beverly Hills—Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1929/1/residence-of-mr-and-mrs-milton-e-getz-beverly-hills-gordon-b-kaufmann-architect'}]",Winter,darkslategrey,,darkolivegreen,dimgrey,rosybrown,"{""0.36967829457364343"": [163, 149, 120], ""0.28795736434108526"": [63, 58, 50], ""0.18927519379844962"": [174, 162, 135], ""0.0983875968992248"": [88, 82, 68], ""0.0547015503875969"": [123, 116, 98]}"
1929,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19290201thumbnails/Covers/0x600/19290201.jpg,"[{'title': 'Residence of Mr. and Mrs. E. L. Doheny, Jr., Beverly Hills—Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1929/2/residence-of-mr-and-mrs-e-l-doheny-jr-beverly-hills-gordon-b-kaufmann-architect'}, {'title': 'Residence of Mr. and Mrs. O. B. English, Beverly Hills—Arthur Kelly, Architect; Joe Estep, Associate', 'link': 'https://archive.architecturaldigest.com/article/1929/2/residence-of-mr-and-mrs-o-b-english-beverly-hills-arthur-kelly-architect-joe-estep-associate'}, {'title': 'Times Demonstration Home, Miramar Estates—Mark Daniels, Architect', 'link': 'https://archive.architecturaldigest.com/article/1929/2/times-demonstration-home-miramar-estates-mark-daniels-architect'}]",Winter,darkslategrey,,darkolivegreen,dimgrey,darkgrey,"{""0.5594939117199391"": [181, 175, 144], ""0.2624467275494673"": [48, 41, 35], ""0.09708904109589041"": [64, 56, 47], ""0.047119482496194826"": [90, 81, 66], ""0.03385083713850837"": [131, 120, 98]}"
1929,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19290301thumbnails/Covers/0x600/19290301.jpg,"[{'title': 'Hotel Agua Caliente, Agua Caliente, Old Mexico—Wayne D. McAllister, Designer', 'link': 'https://archive.architecturaldigest.com/article/1929/3/hotel-agua-caliente-agua-caliente-old-mexico-wayne-d-mcallister-designer'}, {'title': ""Bullock's Wilshire, Los Angeles — John Parkinson and Donald B. Parkinson, Architects"", 'link': 'https://archive.architecturaldigest.com/article/1929/3/bullocks-wilshire-los-angeles---john-parkinson-and-donald-b-parkinson-architects'}, {'title': 'Sunnyside Mausoleum, Long Beach—Clarence L. Jay, Architect; Cecil E. Bryan, Engineer', 'link': 'https://archive.architecturaldigest.com/article/1929/3/sunnyside-mausoleum-long-beach-clarence-l-jay-architect-cecil-e-bryan-engineer'}]",Spring,,,darkolivegreen,dimgrey,darkslategrey,"{""0.42937037037037035"": [50, 46, 42], ""0.328662962962963"": [43, 39, 35], ""0.16723333333333334"": [60, 55, 49], ""0.04331851851851852"": [97, 89, 62], ""0.03141481481481481"": [122, 112, 81]}"
